game_number,mean_error,std_error,median_error,count
2,1.0835275794104666,1.6405924179171456,0.42652076482772827,661
3,1.14613907835133,1.6977131631641367,0.5543950498104095,654
4,1.1838630334776148,1.7487781969214498,0.5007722079753876,653
5,1.2098164279371868,1.8041324036361932,0.5378300845623016,652
6,1.1855783281742918,1.64257904293337,0.4842907786369324,648
7,1.2421361165705445,1.839614604982854,0.5162909626960754,644
8,1.1040557706232261,1.6287983104257195,0.47393061220645905,638
9,1.2885002134090573,2.007109318198239,0.5118632316589355,629
10,1.1013245478442784,1.7667837218999656,0.4502551257610321,626
11,1.1130188693645415,1.5399317224949418,0.4936234652996063,624
12,1.1644904020546605,1.735331366984664,0.4665546417236328,623
13,1.1262396565944661,1.6728636434967048,0.44572901725769043,619
14,1.2118879790246009,1.723680357931416,0.5037261247634888,607
15,1.2023452321986097,1.8507173125372727,0.42576220631599426,606
16,1.075787820697164,1.555578248211728,0.4600902497768402,598
17,1.2119028255672952,1.9013599779441115,0.5077416300773621,590
18,1.2350787368174205,1.726325917849301,0.5339406728744507,585
19,1.272845310722036,1.7182102493940246,0.5533086508512497,580
20,1.1134085741017934,1.6200116016529023,0.45712244510650635,579
21,1.2925677442912678,1.9158494948991494,0.6039478480815887,576
22,1.1722196919155292,1.6655374567086578,0.5456626415252686,569
23,1.2896891519328397,1.907832255378574,0.5047974586486816,565
24,1.3154246429968477,1.9633021173961551,0.5104112029075623,564
25,1.1481770516849272,1.6816051182603242,0.48862677812576294,560
26,1.2074979307489846,1.7387086183028382,0.5432815551757812,559
27,1.2511300697991259,1.8873618018025715,0.5227649211883545,557
28,1.2990100587805709,1.8534852298597293,0.553022712469101,556
29,1.2946392931283226,1.9072517756659437,0.5543326735496521,555
30,1.2430975350353548,1.7898771451993294,0.6339588165283203,551
31,1.2713105026830838,1.9036578111581273,0.5866070985794067,546
32,1.2242702540189248,1.736655561496959,0.5079033970832825,541
33,1.1435388777930295,1.6857561163462278,0.48360371589660645,539
34,1.2809674257016042,2.208220688699685,0.4878250062465668,532
35,1.0800030239955003,1.5230519355267158,0.48322558403015137,529
36,1.223385849694221,1.8336997012315632,0.48541581630706787,529
37,1.1255806861010411,1.760890824452604,0.4217224419116974,526
38,1.694533109664917,0.0,1.694533109664917,1
